period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12plus_hrs_from_dta_to_admission,emergency_admissions_via_aande___type_1,emergency_admissions_via_aande___type_2,emergency_admissions_via_aande___other_aande_department,other_emergency_admissions,total_attendances,total_booked_attendances,total_over_4hrs,total_booked_over_4hrs,total_dta_waits,total_emergency_admissions,over_4hr_rate,booked_over_4hr_rate,admission_rate
2026-02-01,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8435,1064,2617,0,0,0,3165,0,32,0,0,0,158,321,3031,806,0,1114,12116,0,3197,0,479,4951,0.26386596236381643,0.0,0.40863321228128097
2026-02-01,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3098,0,0,163,0,0,6,0,0,0,0,0,0,0,0,0,3098,163,6,0,0,0,0.001936733376371853,0.0,0.0
2026-02-01,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2696,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,2696,3,7,0,0,0,0.0025964391691394658,0.0,0.0
2026-02-01,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2209,0,0,194,0,0,9,0,0,0,0,0,0,0,0,0,2209,194,9,0,0,0,0.004074241738343142,0.0,0.0
2026-02-01,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,772,0,1,0,0,0,0.0012953367875647669,0.0,0.0
2026-02-01,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,3551,224,1324,17,0,8,1235,0,78,0,0,0,211,159,1249,0,0,114,5099,25,1313,0,370,1363,0.2575014708766425,0.0,0.26730731515983525
2026-02-01,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY NHS FOUNDATION TRUST,6229,0,1768,833,0,35,2097,0,0,212,0,0,326,8,2204,0,0,994,7997,868,2097,212,334,3198,0.26222333375015633,0.24423963133640553,0.39989996248593224
2026-02-01,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,8619,953,2874,0,0,0,1977,0,0,0,0,0,572,75,2321,0,18,1232,12446,0,1977,0,647,3571,0.15884621565161497,0.0,0.28691949220633134
2026-02-01,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,8964,0,3526,52,0,127,3143,0,54,18,0,0,1048,331,3976,0,0,834,12490,179,3197,18,1379,4810,0.255964771817454,0.1005586592178771,0.3851080864691753
2026-02-01,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,15343,0,8106,0,0,839,5384,0,0,0,0,0,80,65,4819,0,0,2293,23449,839,5384,0,145,7112,0.22960467397330375,0.0,0.3032965158428931
2026-02-01,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11271,0,3705,1389,0,79,5037,0,14,564,0,0,885,298,3096,0,0,1832,14976,1468,5051,564,1183,4928,0.3372729700854701,0.38419618528610355,0.32905982905982906
2026-02-01,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4892,0,2263,0,0,0,2525,0,351,0,0,0,229,747,1713,0,0,1171,7155,0,2876,0,976,2884,0.4019566736547869,0.0,0.40307477288609367
2026-02-01,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7807,127,6932,0,0,0,4956,19,143,0,0,0,516,591,2736,0,0,1682,14866,0,5118,0,1107,4418,0.34427552805058526,0.0,0.29718821471814877
2026-02-01,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11365,2426,5403,0,0,0,4797,84,87,0,0,0,50,14,871,42,36,340,19194,0,4968,0,64,1289,0.2588308846514536,0.0,0.06715640304261748
2026-02-01,RMP,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7536,0,2572,340,0,131,4074,0,49,0,0,0,321,706,1527,0,0,259,10108,471,4123,0,1027,1786,0.40789473684210525,0.0,0.17669172932330826
2026-02-01,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,9416,51,3936,0,0,116,4819,0,136,0,0,0,197,18,3314,7,70,1050,13403,116,4955,0,215,4441,0.36969335223457434,0.0,0.331343729015892
2026-02-01,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,5444,0,0,0,0,0,62,0,0,0,0,0,0,0,3,0,223,5444,0,62,0,0,226,0.011388684790595151,0.0,0.04151359294636297
2026-02-01,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,7845,0,1890,0,0,471,2063,0,0,0,0,0,522,286,1729,0,4,302,9735,471,2063,0,808,2035,0.21191576784797123,0.0,0.20903954802259886
2026-02-01,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5310,0,4073,14,0,0,2298,0,38,7,0,0,667,1,1533,0,0,36,9383,14,2336,7,668,1569,0.24896088671000746,0.5,0.167217307897261
2026-02-01,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,30640,298,2868,0,0,145,12820,0,40,0,0,2,2238,1923,9296,0,0,7490,33806,145,12860,2,4161,16786,0.38040584511625153,0.013793103448275862,0.49653907590368573
2026-02-01,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4547,0,10252,0,0,0,2496,0,19,0,0,0,209,39,1530,0,430,2315,14799,0,2515,0,248,4275,0.16994391512940063,0.0,0.28887086965335496
2026-02-01,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,14874,128,5785,112,0,85,5674,0,157,0,0,0,2006,610,3065,0,161,812,20787,197,5831,0,2616,4038,0.2805118583730216,0.0,0.1942560254004907
2026-02-01,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,3123,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,3123,0,205,0,0,0,0.06564201088696765,0.0,0.0
2026-02-01,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,24026,1458,1562,1426,0,368,10461,34,187,509,0,16,894,946,7713,27,48,1597,27046,1794,10682,525,1840,9385,0.3949567403682615,0.29264214046822745,0.3470014050136804
2026-02-01,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,2696,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2696,0,18,0,0,0,0.0066765578635014835,0.0,0.0
2026-02-01,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2599,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2599,0,11,0,0,0,0.004232397075798384,0.0,0.0
2026-02-01,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,24273,2871,9991,3267,447,749,9641,99,290,1271,34,34,3528,83,5443,115,96,409,37135,4463,10030,1339,3611,6063,0.27009559714555004,0.3000224064530585,0.16326915309007675
2026-02-01,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13434,0,3334,0,0,0,6069,0,0,0,0,0,997,454,3880,0,0,2371,16768,0,6069,0,1451,6251,0.36193940839694655,0.0,0.37279341603053434
2026-02-01,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,24311,0,7273,0,0,1,10563,0,269,0,0,0,2196,1184,7794,0,109,1073,31584,1,10832,0,3380,8976,0.34295845997973656,0.0,0.28419452887537994
2026-02-01,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,6356,0,7221,0,0,0,3413,0,263,0,0,0,227,467,2210,0,241,677,13577,0,3676,0,694,3128,0.27075200707078145,0.0,0.23038962952051265
2026-02-01,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6151,0,1807,0,0,0,2827,0,0,0,0,0,720,131,1792,0,0,361,7958,0,2827,0,851,2153,0.35524001005277706,0.0,0.270545363156572
2026-02-01,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7474,0,4949,693,0,351,3776,0,126,378,0,0,607,0,2082,0,0,408,12423,1044,3902,378,607,2490,0.314094824116558,0.3620689655172414,0.20043467761410289
2026-02-01,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,6239,0,9986,0,0,0,3619,0,513,0,0,0,663,529,2409,0,34,1154,16225,0,4132,0,1192,3597,0.2546687211093991,0.0,0.2216949152542373
2026-02-01,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12627,2267,13122,0,0,0,5281,375,155,0,0,0,564,628,3385,0,0,1762,28016,0,5811,0,1192,5147,0.2074171901770417,0.0,0.1837164477441462
2026-02-01,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,8770,0,0,0,0,0,2958,0,0,0,0,0,903,54,1557,0,0,440,8770,0,2958,0,957,1997,0.3372862029646522,0.0,0.22770809578107185
2026-02-01,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6796,0,5530,0,0,0,3794,0,38,0,0,0,558,523,1794,0,15,137,12326,0,3832,0,1081,1946,0.3108875547622911,0.0,0.15787765698523445
2026-02-01,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,7170,0,874,51,0,0,2577,0,0,0,0,0,428,546,1777,0,0,231,8044,51,2577,0,974,2008,0.3203630034808553,0.0,0.24962705121829937
2026-02-01,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,8037,1134,6654,268,1,989,4030,2,215,117,0,24,935,4,2917,0,0,3294,15825,1258,4247,141,939,6211,0.26837282780410743,0.11208267090620032,0.39248025276461296
2026-02-01,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,9456,0,6214,0,0,0,3677,0,115,0,0,0,167,67,1886,0,0,247,15670,0,3792,0,234,2133,0.2419910657306956,0.0,0.1361199744735163
2026-02-01,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,0.0,0.0,0.0
2026-02-01,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5608,0,4955,0,0,0,2936,0,322,0,0,0,364,444,2502,0,0,1155,10563,0,3258,0,808,3657,0.3084351036637319,0.0,0.34620846350468615
2026-02-01,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,8946,0,3879,0,0,580,3063,0,62,0,0,0,2445,178,3265,0,0,2497,12825,580,3125,0,2623,5762,0.24366471734892786,0.0,0.44927875243664717
2026-02-01,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4191,308,1723,195,0,0,1871,0,0,84,0,0,395,152,1221,0,0,900,6222,195,1871,84,547,2121,0.3007071681131469,0.4307692307692308,0.34088717454194795
2026-02-01,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1109,0,0,0,0,0,13,0,0,0,0,0,0,0,2,500,1109,0,13,0,0,502,0.011722272317403066,0.0,0.4526600541027953
2026-02-01,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4440,0,0,0,0,0,1021,0,0,0,0,0,34,1,559,0,0,168,4440,0,1021,0,35,727,0.22995495495495497,0.0,0.16373873873873873
2026-02-01,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,10171,1658,8131,0,0,1280,4926,95,172,0,0,0,627,63,3666,26,0,2700,19960,1280,5193,0,690,6392,0.26017034068136274,0.0,0.32024048096192387
2026-02-01,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,9593,0,11737,0,0,0,2664,0,3,0,0,0,45,0,3832,0,13,507,21330,0,2667,0,45,4352,0.12503516174402252,0.0,0.20403187998124708
2026-02-01,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1176,0,0,0,0,0,10,0,0,0,0,0,0,0,28,0,1176,0,10,0,0,28,0.008503401360544218,0.0,0.023809523809523808
2026-02-01,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,10569,1085,7702,397,0,0,5128,166,138,202,0,0,711,448,2292,0,37,96,19356,397,5432,202,1159,2425,0.2806364951436247,0.5088161209068011,0.1252841496176896
2026-02-01,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1021,0,10,0,0,0,0.009794319294809012,0.0,0.0
2026-02-01,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,11379,3441,6043,0,0,550,4645,28,245,0,0,0,494,0,3165,0,0,1091,20863,550,4918,0,494,4256,0.23572832286823564,0.0,0.20399750754924986
2026-02-01,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,4952,0,0,2110,0,0,30,0,0,20,0,0,0,0,0,0,4952,2110,30,20,0,0,0.006058158319870759,0.009478672985781991,0.0
2026-02-01,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,168,0,0,2252,0,0,0,0,0,0,0,0,0,0,0,0,168,2252,0,0,0,0,0.0,0.0,0.0
2026-02-01,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,116,0,0,410,0,0,0,0,0,1,0,0,0,0,0,0,116,410,0,1,0,0,0.0,0.0024390243902439024,0.0
2026-02-01,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,40,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,40,321,0,0,0,0,0.0,0.0,0.0
2026-02-01,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,484,0,0,2209,0,0,2,0,0,10,0,0,0,0,0,0,484,2209,2,10,0,0,0.004132231404958678,0.004526935264825713,0.0
2026-02-01,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,53,0,0,360,0,0,0,0,0,1,0,0,0,0,0,0,53,360,0,1,0,0,0.0,0.002777777777777778,0.0
2026-02-01,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,4662,0,0,167,0,0,243,0,0,1,0,0,0,0,0,0,4662,167,243,1,0,0,0.052123552123552123,0.005988023952095809,0.0
2026-02-01,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,10371,1235,5014,842,0,1363,5314,9,196,457,0,50,723,1,4199,20,0,1032,16620,2205,5519,507,724,5251,0.33206979542719617,0.22993197278911565,0.3159446450060168
2026-02-01,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,24013,741,15869,0,0,0,10119,4,790,0,0,0,913,1271,3905,0,53,1254,40623,0,10913,0,2184,5212,0.2686409177067179,0.0,0.12830170100681879
2026-02-01,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,4633,0,5942,0,0,0,1969,0,23,0,0,0,520,18,1622,0,0,64,10575,0,1992,0,538,1686,0.18836879432624112,0.0,0.15943262411347517
2026-02-01,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,15685,0,6585,214,0,0,6218,0,88,42,0,0,389,480,6608,0,0,654,22270,214,6306,42,869,7262,0.28316120341266277,0.19626168224299065,0.32608890884598113
2026-02-01,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,10322,335,5851,0,0,0,5614,0,248,0,0,0,760,406,4693,0,0,1506,16508,0,5862,0,1166,6199,0.35510055730554885,0.0,0.37551490186576203
2026-02-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,5277,197,0,398,0,0,2307,0,0,0,0,0,419,262,1427,0,0,490,5474,398,2307,0,681,1917,0.42144683960540735,0.0,0.35020094994519546
2026-02-01,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8288,0,0,0,0,0,3645,0,0,0,0,0,806,219,2553,0,3,2071,8288,0,3645,0,1025,4627,0.43979247104247104,0.0,0.558277027027027
2026-02-01,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,10184,0,11887,0,0,0,4342,0,999,0,0,0,768,559,4438,0,0,252,22071,0,5341,0,1327,4690,0.2419917538851887,0.0,0.21249603552172533
2026-02-01,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,10054,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,10054,0,74,0,0,0,0.007360254625024865,0.0,0.0
2026-02-01,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14733,1638,7259,494,0,0,7314,0,349,206,0,0,711,1234,4754,0,0,2234,23630,494,7663,206,1945,6988,0.3242911553110453,0.41700404858299595,0.2957257723233178
2026-02-01,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,151,0.0,0.0,0.0
2026-02-01,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8494,0,0,25,0,0,2102,0,0,0,0,0,372,1,3116,0,0,500,8494,25,2102,0,373,3616,0.24746880150694608,0.0,0.4257122674829291
2026-02-01,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,14103,0,4300,316,0,384,5984,0,192,69,0,10,501,921,3550,0,46,1321,18403,700,6176,79,1422,4917,0.33559745693636905,0.11285714285714285,0.26718469814704127
2026-02-01,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10319,0,4758,289,0,277,4672,0,88,69,0,9,480,558,2519,0,28,381,15077,566,4760,78,1038,2928,0.31571267493533195,0.13780918727915195,0.19420309080055714
2026-02-01,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,9612,1058,0,0,0,0,2738,21,0,0,0,0,155,10,3412,8,0,1380,10670,0,2759,0,165,4800,0.2585754451733833,0.0,0.4498594189315839
2026-02-01,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,10031,2388,2376,1239,21,0,3586,88,0,274,1,0,783,52,2106,0,0,335,14795,1260,3674,275,835,2441,0.2483271375464684,0.21825396825396826,0.1649881716796215
2026-02-01,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,14807,0,14963,0,0,852,7625,0,234,0,0,8,1020,703,3485,0,0,484,29770,852,7859,8,1723,3969,0.26399059455828017,0.009389671361502348,0.13332213637890494
2026-02-01,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8228,0,3579,299,0,0,2779,0,124,65,0,0,419,443,1782,0,0,532,11807,299,2903,65,862,2314,0.24587109341915814,0.21739130434782608,0.1959854323706276
2026-02-01,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,3856,0,0,73,0,69,2105,0,0,0,0,0,218,470,698,0,0,145,3856,142,2105,0,688,843,0.545902489626556,0.0,0.21862033195020747
2026-02-01,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,14307,0,8138,54,0,425,6570,0,632,18,0,0,1448,833,3299,0,0,302,22445,479,7202,18,2281,3601,0.3208732457117398,0.037578288100208766,0.1604366228558699
2026-02-01,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,10460,0,4919,0,0,0,3976,0,376,0,0,0,843,365,3533,0,0,287,15379,0,4352,0,1208,3820,0.28298328890044866,0.0,0.24839066259184603
2026-02-01,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,8193,0,0,0,0,0,2212,0,0,0,0,0,237,269,1335,0,0,34,8193,0,2212,0,506,1369,0.26998657390455266,0.0,0.16709386061271816
2026-02-01,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,10403,1380,6123,106,8,614,3647,54,145,22,0,2,848,511,2387,0,39,4004,17906,728,3846,24,1359,6430,0.21478833910421088,0.03296703296703297,0.35909750921478834
2026-02-01,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11506,0,7127,0,0,0,3622,0,4,0,0,0,648,410,2068,0,0,1419,18633,0,3626,0,1058,3487,0.1946009767616594,0.0,0.18714109375838567
2026-02-01,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,7382,0,3259,34,0,6,3575,0,275,16,0,0,363,483,2304,0,102,921,10641,40,3850,16,846,3327,0.36180810074241143,0.4,0.31265858471948127
2026-02-01,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,10902,0,3493,0,0,0,2879,0,37,0,0,0,612,344,3495,0,0,276,14395,0,2916,0,956,3771,0.20257033692254256,0.0,0.2619659604029177
2026-02-01,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9960,0,8182,0,0,0,3820,0,7,0,0,0,569,504,1703,0,0,339,18142,0,3827,0,1073,2042,0.21094697387278138,0.0,0.11255649873222356
2026-02-01,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9778,640,1775,0,0,0,3806,22,15,0,0,0,349,856,2210,0,0,448,12193,0,3843,0,1205,2658,0.3151808414664152,0.0,0.21799393094398425
2026-02-01,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,8536,0,5282,273,0,975,3136,0,851,68,0,0,227,817,1581,0,0,492,13818,1248,3987,68,1044,2073,0.28853669127225356,0.05448717948717949,0.15002171081198437
2026-02-01,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,18241,0,5785,564,0,0,5070,0,234,0,0,0,913,43,2675,0,0,394,24026,564,5304,0,956,3069,0.2207608424207109,0.0,0.12773661866311495
2026-02-01,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LEEDS TEACHING HOSPITALS NHS TRUST,16690,670,9963,42,0,416,6740,0,254,13,0,0,1002,884,3344,0,0,1120,27323,458,6994,13,1886,4464,0.2559748197489295,0.028384279475982533,0.16337883834132416
2026-02-01,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",6165,0,5182,0,0,0,3757,0,213,0,0,0,656,520,1724,0,0,379,11347,0,3970,0,1176,2103,0.3498722129197145,0.0,0.18533533092447343
2026-02-01,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,11930,0,0,400,0,0,4489,0,0,106,0,0,219,510,2498,0,0,2774,11930,400,4489,106,729,5272,0.3762782900251467,0.265,0.4419111483654652
2026-02-01,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7009,0,8090,0,0,2057,3486,0,319,0,0,37,372,35,2119,0,329,2448,15099,2057,3805,37,407,4896,0.25200344393668456,0.01798736023334954,0.32425988476058015
2026-02-01,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,8262,0,0,13,0,0,2947,0,0,5,0,0,441,430,3123,0,0,2197,8262,13,2947,5,871,5320,0.35669329460179133,0.38461538461538464,0.6439118857419511
2026-02-01,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,10245,0,1883,0,0,0,3045,0,101,0,0,0,530,732,1848,0,0,80,12128,0,3146,0,1262,1928,0.25939973614775724,0.0,0.15897097625329815
2026-02-01,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,12507,0,10837,0,0,0,5609,0,251,0,0,0,476,995,2566,0,560,436,23344,0,5860,0,1471,3562,0.251028101439342,0.0,0.15258738862234408
2026-02-01,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,8887,0,3896,0,0,0,4770,0,310,0,0,0,979,410,3733,0,0,1949,12783,0,5080,0,1389,5682,0.39740280059453964,0.0,0.44449659704294764
2026-02-01,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,16500,0,4132,0,0,0,6701,0,299,0,0,0,581,1296,4575,0,0,1222,20632,0,7000,0,1877,5797,0.33927879022877083,0.0,0.2809713067080264
