model,MAE,RMSE,R2,rmse_rank,mae_rank,r2_rank
XGBoost,416.1673583984375,701.7022383105244,0.9944621920585632,1.0,2.0,1.0
Random Forest,414.3203084238008,720.9056739739017,0.9941549432396865,2.0,1.0,2.0
Linear Regression,530.1827804369069,802.0007276598388,0.9927659522663744,3.0,4.0,3.0
LSTM,528.642468712028,838.5473062506287,0.9920916299670814,4.0,3.0,4.0
