parent_org,total_attendances,total_over_4hrs,total_emergency_admissions,over_4hr_rate_pct
NHS ENGLAND MIDLANDS ,26107636,6843113,7103652,26.21
NHS ENGLAND LONDON,25858419,5701321,4451873,22.05
NHS ENGLAND NORTH EAST AND YORKSHIRE ,22181420,5129884,6292841,23.13
NHS ENGLAND SOUTH EAST ,20759047,4408147,5653152,21.23
NHS ENGLAND NORTH WEST ,20251422,5568115,5244933,27.49
NHS ENGLAND EAST OF ENGLAND ,14376511,3486839,3802018,24.25
NHS ENGLAND SOUTH WEST ,12050634,2910250,3776417,24.15
